"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"NXJ^A","Nuveen New Jersey Dividend Advantage Municipal Fund","10.0999","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/nxj^a",
"OHI","Omega Healthcare Investors, Inc.","20.8","2145852800","n/a","1992","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/ohi",
"OME","Omega Protein Corporation","8.36","162008440","n/a","1998","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/ome",
"OCR","Omnicare, Inc.","32.7","3738950700","n/a","1981","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/ocr",
"OCR^A","Omnicare, Inc.","45.2","271200000","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ocr^a",
"OCR^B","Omnicare, Inc.","45.5","313950000","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ocr^b",
"OMC","Omnicom Group Inc.","46.71","12886074540","n/a","n/a","Technology","Advertising","http://www.nasdaq.com/symbol/omc",
"OMN","OMNOVA Solutions Inc.","5.47","249432000","n/a","n/a","Basic Industries","Specialty Chemicals","http://www.nasdaq.com/symbol/omn",
"OB","OneBeacon Insurance Group, Ltd.","15.4","359035600","n/a","2006","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/ob",
"OKS","ONEOK Partners, L.P.","55.8","7300146600","n/a","n/a","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/oks",
"PRE^C","PartnerRe Ltd.","25.13","291508000","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/pre^c",
"PRE^D","PartnerRe Ltd.","24.9","229080000","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/pre^d",
"PRE^E","PartnerRe Ltd.","26.36","342680000","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/pre^e",
"PTI","Patni Computer Systems Limited","18.51","65580930","n/a","1982","Technology","EDP Services","http://www.nasdaq.com/symbol/pti",
"PKX","POSCO","91.51","4849846980","n/a","1994","Basic Industries","Steel/Iron Ore","http://www.nasdaq.com/symbol/pkx",
"POM","Potomac Electric Power Company","20","4539120000","n/a","n/a","Public Utilities","Power Generation","http://www.nasdaq.com/symbol/pom",
"PPG","PPG Industries, Inc.","88.92","13731204240","n/a","n/a","Basic Industries","Paints/Coatings","http://www.nasdaq.com/symbol/ppg",
"PYV","PPlus Trust","25.42","0","n/a","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/pyv",
