Week, infosys, infosys (std error)
Nov 1 2009, 0.78, 3%
Nov 8 2009, 0.86, 3%
Nov 15 2009, 0.82, 3%
Nov 22 2009, 0.82, 3%
Nov 29 2009, 0.92, 3%
Dec 6 2009, 0.98, 3%
Dec 13 2009, 1.08, 3%
Dec 20 2009, 0.96, 3%
Dec 27 2009, 0.88, 3%
Jan 3 2010, 1.12, 3%
Jan 10 2010, 1.28, 2%
Jan 17 2010, 1.04, 3%
Jan 24 2010, 1.00, 3%
Jan 31 2010, 1.00, 3%
Feb 7 2010, 1.00, 3%
Feb 14 2010, 1.00, 3%
Feb 21 2010, 0.92, 3%
Feb 28 2010, 1.04, 3%
Mar 7 2010, 1.06, 3%
Mar 14 2010, 1.00, 3%
Mar 21 2010, 0.94, 3%
Mar 28 2010, 0.92, 3%
Apr 4 2010, 0.96, 3%
Apr 11 2010, 1.24, 2%
Apr 18 2010, 0.98, 3%
Apr 25 2010, 0.86, 3%
May 2 2010, 0.84, 3%
May 9 2010, 0.82, 3%
May 16 2010, 0.86, 3%
May 23 2010, 0.84, 3%
May 30 2010, 0.88, 3%
Jun 6 2010, 0.90, 3%
Jun 13 2010, 0.96, 3%
Jun 20 2010, 1.00, 3%
Jun 27 2010, 1.10, 3%
Jul 4 2010, 1.10, 2%
Jul 11 2010, 1.30, 2%
Jul 18 2010, 1.14, 2%
Jul 25 2010, 1.06, 3%
Aug 1 2010, 1.02, 3%
Aug 8 2010, 1.40, 2%
Aug 15 2010, 1.30, 2%
Aug 22 2010, 1.06, 2%
Aug 29 2010, 1.06, 2%
Sep 5 2010, 1.00, 3%
Sep 12 2010, 1.02, 2%
Sep 19 2010, 1.06, 2%
Sep 26 2010, 0.94, 3%
Oct 3 2010, 0.90, 3%
Oct 10 2010, 1.10, 2%
Oct 17 2010, 1.08, 2%
Oct 24 2010, 0.94, 3%
Oct 31 2010, 0.70, 3%
Nov 7 2010, 0.82, 3%
Nov 14 2010, 0.98, 2%
Nov 21 2010, 0.98, 2%
Nov 28 2010, 0.92, 2%
Dec 5 2010, 1.00, 2%
Dec 12 2010, 1.04, 2%
Dec 19 2010, 1.02, 2%
Dec 26 2010, 0.94, 3%
Jan 2 2011, 1.10, 2%
Jan 9 2011, 1.28, 2%
Jan 16 2011, 1.10, 2%
Jan 23 2011, 1.00, 2%
Jan 30 2011, 1.02, 2%
Feb 6 2011, 0.90, 2%
Feb 13 2011, 0.88, 2%
Feb 20 2011, 0.92, 2%
Feb 27 2011, 0.90, 2%
Mar 6 2011, 0.90, 2%
Mar 13 2011, 0.86, 3%
Mar 20 2011, 0.84, 3%
Mar 27 2011, 0.70, 3%
Apr 3 2011, 0.78, 3%
Apr 10 2011, 1.34, 2%
Apr 17 2011, 1.14, 2%
Apr 24 2011, 0.96, 2%
May 1 2011, 1.00, 2%
May 8 2011, 0.86, 2%
May 15 2011, 0.88, 2%
May 22 2011, 0.86, 2%
May 29 2011, 0.90, 2%
Jun 5 2011, 0.96, 2%
